Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,610,HCHu,Hornchurch,Station entry/exit,Gateline,"2,387","2,684","2,367","1,661",897,"2,428","2,716","2,436","1,774","1,000","31,151","373,806","1,465,954"
LU,611,HNCu,Hounslow Central,Station entry/exit,Gateline,"4,440","4,845","4,559","4,042","2,979","4,498","4,829","4,587","4,014","2,956","61,098","733,171","2,875,274"
LU,612,HNEu,Hounslow East,Station entry/exit,Gateline,"4,748","5,144","5,104","4,481","3,418","5,120","5,470","5,400","4,598","3,630","68,339","820,069","3,216,060"
LU,613,HNWu,Hounslow West,Station entry/exit,Gateline,"4,303","4,535","4,741","4,546","3,416","4,390","4,460","4,803","4,626","3,458","61,267","735,209","2,883,269"
LU,614,HPCu,Hyde Park Corner,Station entry/exit,Gateline,"5,416","8,531","6,102","6,460","4,651","5,518","9,645","6,418","6,892","4,811","100,797","1,209,565","4,743,548"
LU,615,ICKu,Ickenham,Station entry/exit,Gateline,"1,298","1,450","1,366","1,051",601,"1,320","1,486","1,351","1,009",662,"17,465","209,579","821,905"
LU,616,KENu,Kennington,Station entry/exit,Gateline,"6,044","7,316","7,271","7,190","4,710","5,865","7,077","7,132","7,468","4,789","93,646","1,123,747","4,406,994"
LU,617,KGNu,Kensal Green,Station entry/exit,Gateline,"2,717","3,204","3,042","2,611","1,658","2,608","3,073","2,800","2,451","1,727","38,441","461,298","1,809,069"
LU,618,OLYu,Kensington (Olympia),---see LO---,---see LO---,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,619,KTNu,Kentish Town,Boarding/alighting,Scaled,"10,621","10,621","10,586","9,670","6,417","9,983","9,983","9,966","8,432","6,493","133,977","1,607,720","6,304,992"
LU,620,KETu,Kenton,Station entry/exit,Gateline,"2,585","2,625","2,501","1,786","1,160","2,611","2,694","2,577","1,852","1,198","32,229","386,744","1,516,692"
LU,621,KEWu,Kew Gardens,Station entry/exit,Gateline,"4,354","7,299","5,125","6,534","4,530","4,227","7,322","4,916","6,289","4,509","84,346","1,012,153","3,969,356"
LU,622,KILu,Kilburn,Station entry/exit,Gateline,"8,276","9,249","9,071","8,421","5,862","8,136","8,960","8,779","8,265","5,823","117,263","1,407,156","5,518,439"
LU,623,KPKu,Kilburn Park,Station entry/exit,Gateline,"3,671","4,095","4,050","3,878","2,618","3,526","3,898","3,773","3,603","2,523","51,621","619,452","2,429,301"
LU,625,KXXu,King's Cross St. Pancras,Station entry/exit,Gateline,"94,090","110,437","112,194","115,395","87,606","92,609","110,625","115,851","116,085","89,078","1,486,092","17,833,109","69,936,049"
LU,624,KBYu,Kingsbury,Station entry/exit,Gateline,"5,472","5,792","5,812","4,243","3,003","5,476","5,779","5,809","4,183","2,953","71,663","859,959","3,372,497"
LU,626,KNBu,Knightsbridge,Station entry/exit,Gateline,"18,836","21,694","21,073","23,052","16,604","17,972","21,154","19,772","21,675","14,454","281,980","3,383,761","13,270,083"
